日期,1513.TW價,6414.TW價,Z-Score,持倉,未實現損益,累計已實現損益,凍結保證金,帳戶淨值,動作
2022-10-19,50.42786407470703,164.92616271972656,-1.1304662355503234,1,1061.614990234375,76140.1160653685,58145.58723449707,277201.73105560284,
2022-10-20,49.12529754638672,169.78993225097656,-0.6473454162260281,1,13394.287109375,76140.1160653685,59107.112045288086,289534.40317474346,
2022-10-21,48.4740104675293,162.71534729003906,-1.096926800481645,1,547.6913452148438,76140.1160653685,57021.12659454346,276687.8074105833,
2022-10-24,48.3809700012207,164.92616271972656,-0.8969582669855023,1,5155.403137207031,76140.1160653685,57592.92583465576,281295.5192025755,
2022-10-25,47.54360580444336,161.83103942871094,-1.033932580058738,1,639.8849487304688,76140.1160653685,56531.15421295166,276780.00101409893,
2022-10-26,46.52016830444336,160.94671630859375,-0.9938456879809509,1,918.1137084960938,76140.1160653685,56016.05884552002,277058.22977386456,
2022-10-27,47.17145156860352,164.04183959960938,-0.7881566919235112,1,5805.793762207017,76140.1160653685,57027.58861541748,281945.9098275755,
2022-10-28,45.63628387451172,160.0623779296875,-0.9424203700218576,1,917.205810546875,76140.1160653685,55538.63868713379,277057.32187591534,
2022-10-31,45.9619255065918,163.59967041015625,-0.6810159131802507,1,7340.507507324219,76140.1160653685,56581.63089752197,283480.6235726927,
2022-11-01,48.75313186645508,167.13697814941406,-0.5928321528092765,1,8832.710266113281,76140.1160653685,58290.32970428467,284972.82633148175,
2022-11-02,48.56705093383789,167.57913208007812,-0.5206768416123856,1,10089.179992675781,76140.1160653685,58359.469413757324,286229.29605804425,
2022-11-03,49.12529754638672,171.11642456054688,-0.25506137933352857,1,16047.271728515625,76140.1160653685,59465.26496887207,292187.3877938841,
2022-11-04,49.31137847900391,171.55857849121094,-0.20039089964973028,1,16559.41772460936,76140.1160653685,59634.88838195801,292699.53378997784,
2022-11-07,49.77658081054688,173.76937866210938,-0.003140955509346631,1,20050.613403320298,76140.1160653685,60357.40905761719,296190.7294686888,
2022-11-08,49.21833801269531,173.3272247314453,0.0395882660740034,0,0.0,96354.00538055404,0.0,296354.005380554,"平倉: 多Spread, 損益=+20,214"
2022-11-09,49.404415130615234,175.53802490234375,0.26548414569158285,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-10,48.19488906860352,176.86451721191406,0.5609054128959403,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-11,48.10184860229492,177.74884033203125,0.7111770761710348,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-14,48.84617233276367,179.51748657226562,0.880708601966289,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-15,49.49745941162109,179.9596405029297,0.9161376195392215,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-16,48.56705093383789,176.42234802246094,0.6686986391765278,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-17,51.54434585571289,177.30667114257812,0.4795325876068749,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-18,50.42786407470703,179.51748657226562,0.9838402310611163,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-21,51.823463439941406,176.42234802246094,0.4852597201933998,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-22,51.26522064208984,178.63316345214844,1.005727579267858,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-23,50.80001831054688,178.63316345214844,1.0942140850193376,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-24,51.91650390625,181.2861328125,1.364522022994606,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-25,53.21907424926758,178.1909942626953,0.7139996392539072,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-28,54.428592681884766,180.4018096923828,0.9312301946682988,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-29,53.87035369873047,180.4018096923828,1.0676928670767238,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-11-30,54.800758361816406,182.1704559326172,1.2197031282466357,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-01,55.17291641235352,183.9391021728516,1.4793771341298037,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-02,60.66229248046875,183.9391021728516,0.5219727338786654,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-05,60.29013442993164,185.2655792236328,0.7970587196273559,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-06,60.01101303100586,179.9596405029297,-0.08829531177792461,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-07,58.42932891845703,187.9185485839844,1.5651039877123216,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-08,58.70845031738281,183.4969482421875,0.7393804372177897,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-09,59.266693115234375,188.3607177734375,1.4490759140929559,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-12,59.54581451416016,183.9391021728516,0.6248999979626683,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-13,59.17364883422852,184.3812713623047,0.7435945904880389,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-14,61.87181854248047,187.9185485839844,0.8836325607980464,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-15,63.73262786865234,189.68719482421875,0.8543081447985292,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-16,63.54654693603516,183.4969482421875,-0.16962885022974886,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-19,61.4066162109375,181.2861328125,-0.19935587585332515,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-20,59.54581451416016,175.53802490234375,-0.8873177621593545,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-21,60.94141387939453,174.21153259277344,-1.3331798635580163,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-22,61.31357955932617,175.9801788330078,-1.1275903080200358,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-23,61.4066162109375,175.53802490234375,-1.219372401864877,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-26,61.87181854248047,176.86451721191406,-1.0654048153113884,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-27,62.70918273925781,176.86451721191406,-1.2031100940586534,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-28,62.33702087402344,174.65370178222656,-1.4754269693772784,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-29,62.33702087402344,175.53802490234375,-1.2942645954676444,0,0.0,96354.00538055404,0.0,296354.005380554,
2022-12-30,62.52309799194336,179.9596405029297,-0.5751287038448386,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-03,67.08207702636719,187.47637939453125,-0.0519037634878267,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-04,68.84984588623047,194.1088104248047,0.7494586399885613,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-05,66.89600372314453,197.20391845703125,1.5276339654050932,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-06,67.64031982421875,198.08824157714844,1.526798033405222,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-09,68.10552215576172,194.1088104248047,0.7456507698036685,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-10,67.36119842529297,196.7617645263672,1.2837964432068365,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-11,66.9890365600586,195.43528747558597,1.0797598451719201,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-12,66.24471282958984,195.43528747558597,1.1664896592285023,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-13,65.68647003173828,192.34014892578125,0.7008915853677397,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-16,66.61687469482422,193.6666412353516,0.7492793616745971,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-17,68.01248168945312,192.34014892578125,0.25748729916813545,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-30,70.24545288085938,195.43528747558597,0.4012553809046056,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-01-31,75.3626708984375,197.20391845703125,-0.2048739374457889,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-01,74.61834716796875,199.8569183349609,0.4029420160535234,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-02,74.2461929321289,203.8363494873047,1.1984798058838209,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-03,72.66449737548828,203.39419555664065,1.3607081675851016,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-06,72.9436264038086,204.72067260742188,1.508563361905297,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-07,73.68794250488281,201.62554931640625,0.7487164594715144,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-08,73.68794250488281,202.9520263671875,0.9737448699070844,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-09,76.29307556152344,203.39419555664065,0.5581296099910245,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-10,76.20003509521484,198.9725799560547,-0.2753648268233938,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-13,77.22347259521484,203.39419555664065,0.37611729090509954,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-14,78.24691772460938,202.50987243652344,0.01927010972719679,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-15,80.4798812866211,202.50987243652344,-0.37705640592425466,0,0.0,96354.00538055404,0.0,296354.005380554,
2023-02-16,81.68942260742188,204.2785186767578,-0.2429931516819986,0,0.0,96354.00538055404,0.0,296354.005380554,
