Pair,Stock1,Stock2,Price_Corr,Coint_pvalue,Coint_score
2368.TW-6274.TWO,2368.TW,6274.TWO,0.9764062320477124,0.010444592789902975,-3.88371593810702
2449.TW-2345.TW,2449.TW,2345.TW,0.9534929457482748,0.010521718657531308,-3.8813864759585806
6290.TWO-4958.TW,6290.TWO,4958.TW,0.8778408188598176,0.010763337055621673,-3.8741861438047818
2421.TW-1504.TW,2421.TW,1504.TW,0.8906643165836127,0.010918673101104993,-3.869632824781595
2603.TW-2882.TW,2603.TW,2882.TW,0.8768826352425726,0.011038736839089335,-3.866152829536136
00679B.TWO-1440.TW,00679B.TWO,1440.TW,0.8658986112255266,0.011233375538362228,-3.8605823199161304
1609.TW-2542.TW,1609.TW,2542.TW,0.8829280007310459,0.011273935736764893,-3.8594323318324095
2439.TW-1216.TW,2439.TW,1216.TW,0.8619241740614494,0.011348677572173187,-3.857322819980604
006205.TW-00636.TW,006205.TW,00636.TW,0.9772602812537601,0.011365253944388507,-3.85685664516995
3680.TWO-2324.TW,3680.TWO,2324.TW,0.8581882555125289,0.011391738424054205,-3.856113080722663
3680.TWO-1609.TW,3680.TWO,1609.TW,0.8650573319384222,0.011398619439554744,-3.855920144771905
6510.TWO-3665.TW,6510.TWO,3665.TW,0.8841760031040345,0.011577757722250588,-3.8509334311365855
1210.TW-6121.TWO,1210.TW,6121.TWO,0.8575411977723387,0.011599232715835989,-3.8503402431586187
2338.TW-1326.TW,2338.TW,1326.TW,0.8802352780196823,0.012010545113857843,-3.8391633087156354
2327.TW-3653.TW,2327.TW,3653.TW,0.892474216054905,0.012022131543563602,-3.8388534169247266
3376.TW-3005.TW,3376.TW,3005.TW,0.9217809294908489,0.012113897244163839,-3.836408372448035
9939.TW-1319.TW,9939.TW,1319.TW,0.9511935818365809,0.012128923788503873,-3.8360095675273698
3552.TWO-1312.TW,3552.TWO,1312.TW,0.8740265909461036,0.01225202302086938,-3.832758931658848
3264.TWO-8039.TW,3264.TWO,8039.TW,0.8880054208387919,0.012262052996999404,-3.8324953533719968
5274.TWO-4958.TW,5274.TWO,4958.TW,0.8912725527550754,0.012574362183156555,-3.824382426132558
1513.TW-6121.TWO,1513.TW,6121.TWO,0.9131530533973401,0.012629378881260013,-3.8229718032993194
3005.TW-6414.TW,3005.TW,6414.TW,0.9215501652534586,0.012713793500886608,-3.820817982062758
2383.TW-6274.TWO,2383.TW,6274.TWO,0.9746399821047916,0.012799839694665633,-3.818635543911871
2801.TW-2059.TW,2801.TW,2059.TW,0.9579291696082293,0.012982440103420104,-3.8140469035912115
6290.TWO-2368.TW,6290.TWO,2368.TW,0.9551252136568169,0.013086907493357074,-3.811447358798949
3706.TW-2328.TW,3706.TW,2328.TW,0.8529517242730764,0.013188228041132252,-3.808943621044241
2338.TW-6505.TW,2338.TW,6505.TW,0.8599791142795853,0.013204118017612614,-3.808552509422599
1301.TW-5871.TW,1301.TW,5871.TW,0.8910572401213459,0.01328753172967159,-3.806506197905804
